timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
36:34.4,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.980687,0.004803312,1.121254,"Direction(x,y,z):",0.8431902,-0.5075654,-0.1772221
36:34.6,LOCATION,user_Xoraegore,glass608,"ORIGIN(x,y,z):",-0.9842412,0.006488694,1.119559,"Direction(x,y,z):",0.8477267,-0.4949972,-0.190623
36:34.7,Object,LeftoverObject,181,wall,,,,,,,
36:35.1,LOCATION,user_Vokelaede,glass608,"ORIGIN(x,y,z):",0.7186419,-0.02402161,1.232584,"Direction(x,y,z):",-0.7155551,-0.6820584,-0.1509213
36:35.1,Object,LeftoverObject,182,floor,,,,,,,
36:35.6,Object,LeftoverObject,183,wall,,,,,,,
36:35.6,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.012054,0.01500569,1.104039,"Direction(x,y,z):",0.8392572,-0.4435343,-0.3145227
36:35.7,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.7190428,-0.01985024,1.231909,"Direction(x,y,z):",-0.7227942,-0.674104,-0.1521592
36:35.9,LOCATION,user_Xoraegore,glass608,"ORIGIN(x,y,z):",-1.010714,0.01371642,1.105451,"Direction(x,y,z):",0.8382007,-0.456306,-0.2986712
36:36.0,LOCATION,user_Vokelaede,glass608,"ORIGIN(x,y,z):",0.7204046,-0.01620676,1.226326,"Direction(x,y,z):",-0.7237449,-0.6649738,-0.1843996
36:36.1,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9885895,-0.003935239,1.130035,"Direction(x,y,z):",0.7524011,-0.6530604,-0.08605063
36:36.4,Object,LeftoverObject,184,wall,,,,,,,
36:36.7,Object,LeftoverObject,185,wall,,,,,,,
36:36.7,Object,LeftoverObject,186,wall,,,,,,,
36:37.0,LOCATION,user_Xoraegore,glass608,"ORIGIN(x,y,z):",-0.9754214,0.000986274,1.153942,"Direction(x,y,z):",0.8234682,-0.517997,-0.2314719
36:37.3,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9761267,0.000624311,1.157042,"Direction(x,y,z):",0.8168511,-0.5203465,-0.2489854
36:37.7,Object,LeftoverObject,187,wall,,,,,,,
36:38.2,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.7144991,0.01501783,1.19325,"Direction(x,y,z):",-0.8133026,-0.5444763,-0.2051446
36:38.4,Object,LeftoverObject,188,wall,,,,,,,
36:39.4,LOCATION,user_Vokelaede,paper606,"ORIGIN(x,y,z):",0.6561344,0.03263006,1.155869,"Direction(x,y,z):",-0.2937759,-0.2849339,-0.912419
36:39.5,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.6501819,0.03145766,1.158137,"Direction(x,y,z):",-0.3198412,-0.3004317,-0.898578
36:39.7,Object,LeftoverObject,189,wall,,,,,,,
36:39.7,LOCATION,user_Vokelaede,glass608,"ORIGIN(x,y,z):",0.5533802,-0.01285343,1.247822,"Direction(x,y,z):",-0.7232222,-0.6000537,0.3418848
36:40.2,Object,SortedObject,70,Trash615,,,,,,,
36:40.7,Object,LeftoverObject,190,wall,,,,,,,
36:41.1,LOCATION,user_Vokelaede,Danger658,"ORIGIN(x,y,z):",0.755283,0.03181011,1.119623,"Direction(x,y,z):",-0.4333279,-0.3321095,0.8378127
36:41.5,LOCATION,user_Vokelaede,glass608,"ORIGIN(x,y,z):",0.7360847,0.02891956,1.13205,"Direction(x,y,z):",-0.5990608,-0.3833971,0.7029457
36:41.7,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.7354437,0.02889293,1.131885,"Direction(x,y,z):",-0.6012399,-0.3831165,0.7012362
36:42.0,Object,LeftoverObject,191,wall,,,,,,,
36:42.3,LOCATION,user_Vokelaede,metal,"ORIGIN(x,y,z):",0.6593562,0.0227691,1.121724,"Direction(x,y,z):",-0.8528979,-0.3177305,-0.4142613
36:42.3,LOCATION,user_Vokelaede,floor,"ORIGIN(x,y,z):",0.6569263,0.02244881,1.123897,"Direction(x,y,z):",-0.8436974,-0.3212622,-0.4300761
36:42.5,Object,LeftoverObject,192,wall,,,,,,,
36:42.9,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.6110709,0.02244898,1.184418,"Direction(x,y,z):",-0.6256804,-0.3291963,-0.7072155
36:43.6,Object,LeftoverObject,193,wall,,,,,,,
36:44.6,Object,LeftoverObject,194,wall,,,,,,,
36:44.8,Object,LeftoverObject,195,wall,,,,,,,
36:45.7,Object,LeftoverObject,196,wall,,,,,,,
36:46.9,Object,LeftoverObject,197,wall,,,,,,,
36:47.2,Object,LeftoverObject,198,wall,,,,,,,
36:47.8,SceneChange,Deleting scene...,,,,,,,,,
36:48.7,LOCATION,user_Vokelaede,wall,"ORIGIN(x,y,z):",0.4409382,0.03596872,1.271656,"Direction(x,y,z):",-0.2561001,-0.2754348,0.9265789
36:48.7,LOCATION,user_Vokelaede,Trash,"ORIGIN(x,y,z):",0.4410972,0.03761,1.274527,"Direction(x,y,z):",-0.2323962,-0.2689843,0.9346868
36:48.8,SceneChange,Starting first scene...,,,,,,,,,
36:50.0,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4591916,0.05119337,1.274306,"Direction(x,y,z):",-0.3282528,-0.3191648,0.8890354
36:50.1,Object,LeftoverObject,199,floor,,,,,,,
36:50.3,LOCATION,user_Vokelaede,Trash,"ORIGIN(x,y,z):",0.4562975,0.0498827,1.276418,"Direction(x,y,z):",-0.1430431,-0.2499242,0.9576411
36:51.3,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4446405,0.04690441,1.255226,"Direction(x,y,z):",-0.2036822,-0.2899384,0.9351199
36:51.6,LOCATION,user_Xoraegore,Trash,"ORIGIN(x,y,z):",-1.045027,0.004270878,0.9910601,"Direction(x,y,z):",0.2767258,-0.2109679,0.9375049
36:52.3,LOCATION,user_Vokelaede,Danger670,"ORIGIN(x,y,z):",0.428277,0.02914561,1.122908,"Direction(x,y,z):",-0.08293959,-0.3614148,-0.928709
36:52.6,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.046499,0.006768565,0.9955205,"Direction(x,y,z):",0.3976974,-0.2377112,0.8861886
36:53.4,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4605983,0.02694036,1.155319,"Direction(x,y,z):",-0.1129302,-0.3783884,-0.9187323
36:53.5,LOCATION,user_Vokelaede,Trash667,"ORIGIN(x,y,z):",0.46066,0.03347488,1.154218,"Direction(x,y,z):",-0.08615763,-0.2512057,-0.9640916
36:53.7,LOCATION,user_Xoraegore,Danger670,"ORIGIN(x,y,z):",-0.9938359,-0.00951154,0.8136062,"Direction(x,y,z):",0.8178796,-0.3627897,-0.4466058
36:54.0,LOCATION,user_Vokelaede,Trash708,"ORIGIN(x,y,z):",0.4253014,0.03464482,1.162169,"Direction(x,y,z):",-0.3024569,-0.3504145,-0.8864139
36:54.5,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9960777,-0.000493649,0.8227156,"Direction(x,y,z):",0.8478481,-0.3308483,-0.4143587
36:54.6,LOCATION,user_Xoraegore,Trash708,"ORIGIN(x,y,z):",-0.9988658,-0.002933844,0.81639,"Direction(x,y,z):",0.6679021,-0.3591171,-0.6518754
