timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
41:16.3,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.017509,-0.03677878,1.038739,"Direction(x,y,z):",0.6906478,-0.214665,-0.6905972
41:17.2,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.995373,0.06840889,1.18776,"Direction(x,y,z):",-0.7972012,-0.2712368,-0.5393524
41:17.4,LOCATION,user_Lufohaelae,paper714,"ORIGIN(x,y,z):",1.994392,0.06823983,1.187723,"Direction(x,y,z):",-0.7974638,-0.2725896,-0.538281
41:18.2,LOCATION,user_Lufohaelae,glass756,"ORIGIN(x,y,z):",1.965278,0.06542945,1.175813,"Direction(x,y,z):",-0.8317245,-0.3011624,-0.466407
41:18.2,LOCATION,user_Mileranu,glass717,"ORIGIN(x,y,z):",-2.009272,-0.02333282,1.124645,"Direction(x,y,z):",0.7701887,-0.1673521,-0.6154694
41:18.3,LOCATION,user_Mileranu,paper715,"ORIGIN(x,y,z):",-2.010724,-0.02207496,1.131744,"Direction(x,y,z):",0.7796364,-0.1593521,-0.6056187
41:19.1,LOCATION,user_Lufohaelae,paper714,"ORIGIN(x,y,z):",1.964049,0.06568261,1.17766,"Direction(x,y,z):",-0.8342401,-0.296676,-0.4647867
41:19.7,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.969502,0.06650333,1.177042,"Direction(x,y,z):",-0.8417596,-0.2790902,-0.4621142
41:19.8,LOCATION,user_Lufohaelae,glass756,"ORIGIN(x,y,z):",1.998286,0.06849357,1.168835,"Direction(x,y,z):",-0.8642917,-0.1808527,-0.469353
41:20.8,LOCATION,user_Mileranu,paper755,"ORIGIN(x,y,z):",-2.189903,-0.02586401,0.9802549,"Direction(x,y,z):",0.9703242,-0.1675066,0.1743922
41:21.1,LOCATION,user_Lufohaelae,metal718,"ORIGIN(x,y,z):",2.003779,0.06776437,1.170432,"Direction(x,y,z):",-0.8297402,-0.2540084,-0.4970021
41:21.2,LOCATION,user_Lufohaelae,glass,"ORIGIN(x,y,z):",2.010235,0.06071011,1.16602,"Direction(x,y,z):",-0.6259277,-0.5424759,-0.5602983
41:22.0,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",2.005211,0.06079298,1.166069,"Direction(x,y,z):",-0.691735,-0.4489571,-0.5656326
41:22.1,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.242488,-0.02938487,1.083572,"Direction(x,y,z):",0.8616927,-0.286572,0.4187626
41:22.2,Object,SortedObject,122,paper755,,,,,,,
41:22.2,LOCATION,user_Lufohaelae,glass756,"ORIGIN(x,y,z):",1.994857,0.06376535,1.162393,"Direction(x,y,z):",-0.7821062,-0.2218195,-0.5823281
41:22.2,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.248711,-0.03203996,1.090591,"Direction(x,y,z):",0.8418515,-0.310548,0.4414135
41:22.3,Object,SortedObject,123,glass756,,,,,,,
41:22.5,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.995043,0.06369178,1.161906,"Direction(x,y,z):",-0.7807469,-0.230687,-0.5807045
41:22.6,LOCATION,user_Lufohaelae,plastic719,"ORIGIN(x,y,z):",1.995079,0.06365782,1.161718,"Direction(x,y,z):",-0.780392,-0.2328848,-0.5803043
41:22.9,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.271353,-0.02992189,1.10251,"Direction(x,y,z):",0.8459948,-0.2899452,0.4474648
41:23.0,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.995051,0.06334519,1.15992,"Direction(x,y,z):",-0.7769848,-0.2475049,-0.578823
41:23.5,LOCATION,user_Mileranu,paper,"ORIGIN(x,y,z):",-2.278694,-0.04367811,1.100794,"Direction(x,y,z):",0.8290139,-0.405081,0.3855456
