"contrast","estimate","SE","df","t.ratio","p.value","question"
"sound1 visualization1 - sound1 visualization3",-10.1,7.79750010359395,75.9999999999999,-1.29528693373724,0.786704451949395,"Q3_7"
"sound0 visualization2 - sound1 visualization2",11.2,11.1278811424857,75.0912935386197,1.00648091551221,0.914392672660953,"Q3_7"
"sound0 visualization2 - sound0 visualization3",11.7,7.79750010359395,75.9999999999999,1.50048090343819,0.66500259306043,"Q3_7"
"sound0 visualization2 - sound1 visualization3",2.59999999999999,11.1278811424857,75.0912935386197,0.233647355386762,0.999900847397868,"Q3_7"
"sound1 visualization2 - sound0 visualization3",0.500000000000006,11.1278811424857,75.0912935386197,0.0449321837282241,0.999999973098184,"Q3_7"
"sound1 visualization2 - sound1 visualization3",-8.6,7.79750010359395,75.9999999999999,-1.1029175871426,0.878705708259886,"Q3_7"
"sound0 visualization3 - sound1 visualization3",-9.10000000000001,11.1278811424857,75.0912935386197,-0.817765743853668,0.963382324627925,"Q3_7"
"sound0 visualization1 - sound1 visualization1",3.4,11.2208884239236,61.1922237493945,0.303006310333769,0.999640537365887,"Q3_8"
"sound0 visualization1 - sound0 visualization2",4.35,6.57280073963095,75.9999999999999,0.661818328642083,0.985527935738154,"Q3_8"
"sound0 visualization1 - sound1 visualization2",2.95,11.2208884239236,61.1922237493945,0.262902533966064,0.999820837522077,"Q3_8"
"sound0 visualization1 - sound0 visualization3",2.8,6.57280073963095,75.9999999999999,0.42599800464318,0.998146399036904,"Q3_8"
"sound0 visualization1 - sound1 visualization3",-0.900000000000003,11.2208884239236,61.1922237493945,-0.0802075527354098,0.999999508356176,"Q3_8"
"sound1 visualization1 - sound0 visualization2",0.950000000000002,11.2208884239236,61.1922237493945,0.084663527887377,0.999999356031753,"Q3_8"
"sound1 visualization1 - sound1 visualization2",-0.45,6.57280073963095,75.9999999999999,-0.0684639650319396,0.999999779520523,"Q3_8"
"sound1 visualization1 - sound0 visualization3",-0.599999999999997,11.2208884239236,61.1922237493945,-0.0534717018236061,0.999999935117638,"Q3_8"
"sound1 visualization1 - sound1 visualization3",-4.3,6.57280073963095,75.9999999999999,-0.654211221416312,0.986262688837184,"Q3_8"
"sound0 visualization2 - sound1 visualization2",-1.4,11.2208884239236,61.1922237493945,-0.124767304255082,0.999995546546256,"Q3_8"
"sound0 visualization2 - sound0 visualization3",-1.55,6.57280073963095,75.9999999999999,-0.235820323998903,0.999896269905653,"Q3_8"
"sound0 visualization2 - sound1 visualization3",-5.25,11.2208884239236,61.1922237493945,-0.467877390956556,0.997073332682993,"Q3_8"
"sound1 visualization2 - sound0 visualization3",-0.149999999999997,11.2208884239236,61.1922237493945,-0.0133679254559013,0.999999999936558,"Q3_8"
